timestamp,zone,total
22/02/2023 17:00:00,Gare de Namur,971
22/02/2023 18:00:00,Gare de Namur,714
22/02/2023 19:00:00,Gare de Namur,444
22/02/2023 20:00:00,Gare de Namur,403
22/02/2023 21:00:00,Gare de Namur,265
22/02/2023 22:00:00,Gare de Namur,219
22/02/2023 23:00:00,Gare de Namur,201
23/02/2023 00:00:00,Gare de Namur,180
23/02/2023 01:00:00,Gare de Namur,185
23/02/2023 02:00:00,Gare de Namur,199
23/02/2023 03:00:00,Gare de Namur,178
23/02/2023 04:00:00,Gare de Namur,224
23/02/2023 05:00:00,Gare de Namur,275
23/02/2023 06:00:00,Gare de Namur,339
23/02/2023 07:00:00,Gare de Namur,651
23/02/2023 08:00:00,Gare de Namur,984
23/02/2023 09:00:00,Gare de Namur,1011
23/02/2023 10:00:00,Gare de Namur,877
23/02/2023 11:00:00,Gare de Namur,1058
23/02/2023 12:00:00,Gare de Namur,1767
23/02/2023 13:00:00,Gare de Namur,1440
23/02/2023 14:00:00,Gare de Namur,1079
23/02/2023 15:00:00,Gare de Namur,1267
23/02/2023 16:00:00,Gare de Namur,1018
23/02/2023 17:00:00,Gare de Namur,1077
23/02/2023 18:00:00,Gare de Namur,986
23/02/2023 19:00:00,Gare de Namur,773
23/02/2023 20:00:00,Gare de Namur,531
23/02/2023 21:00:00,Gare de Namur,262
23/02/2023 22:00:00,Gare de Namur,237
23/02/2023 23:00:00,Gare de Namur,237
24/02/2023 00:00:00,Gare de Namur,223
24/02/2023 01:00:00,Gare de Namur,251
24/02/2023 02:00:00,Gare de Namur,236
24/02/2023 03:00:00,Gare de Namur,236
24/02/2023 04:00:00,Gare de Namur,262
24/02/2023 05:00:00,Gare de Namur,298
24/02/2023 06:00:00,Gare de Namur,355
24/02/2023 07:00:00,Gare de Namur,556
24/02/2023 08:00:00,Gare de Namur,1025
24/02/2023 09:00:00,Gare de Namur,520
24/02/2023 10:00:00,Gare de Namur,511
24/02/2023 11:00:00,Gare de Namur,738
24/02/2023 12:00:00,Gare de Namur,1059
24/02/2023 13:00:00,Gare de Namur,1130
24/02/2023 14:00:00,Gare de Namur,1067
24/02/2023 15:00:00,Gare de Namur,1251
24/02/2023 16:00:00,Gare de Namur,1001
24/02/2023 17:00:00,Gare de Namur,895
24/02/2023 18:00:00,Gare de Namur,1790
24/02/2023 19:00:00,Gare de Namur,710
24/02/2023 20:00:00,Gare de Namur,475
24/02/2023 21:00:00,Gare de Namur,469
24/02/2023 22:00:00,Gare de Namur,343
24/02/2023 23:00:00,Gare de Namur,389
25/02/2023 00:00:00,Gare de Namur,309
25/02/2023 01:00:00,Gare de Namur,259
25/02/2023 02:00:00,Gare de Namur,223
25/02/2023 03:00:00,Gare de Namur,215
25/02/2023 04:00:00,Gare de Namur,180
25/02/2023 05:00:00,Gare de Namur,240
25/02/2023 06:00:00,Gare de Namur,243
25/02/2023 07:00:00,Gare de Namur,275
25/02/2023 08:00:00,Gare de Namur,304
25/02/2023 09:00:00,Gare de Namur,431
25/02/2023 10:00:00,Gare de Namur,411
25/02/2023 11:00:00,Gare de Namur,558
25/02/2023 12:00:00,Gare de Namur,497
25/02/2023 13:00:00,Gare de Namur,852
25/02/2023 14:00:00,Gare de Namur,827
25/02/2023 15:00:00,Gare de Namur,582
25/02/2023 16:00:00,Gare de Namur,800
25/02/2023 17:00:00,Gare de Namur,864
25/02/2023 18:00:00,Gare de Namur,542
25/02/2023 19:00:00,Gare de Namur,400
25/02/2023 20:00:00,Gare de Namur,323
