timestamp,zone,total
22/02/2023 03:00:00,Gare de Charleroi,268
22/02/2023 04:00:00,Gare de Charleroi,282
22/02/2023 05:00:00,Gare de Charleroi,297
22/02/2023 06:00:00,Gare de Charleroi,584
22/02/2023 07:00:00,Gare de Charleroi,677
22/02/2023 08:00:00,Gare de Charleroi,767
22/02/2023 09:00:00,Gare de Charleroi,965
22/02/2023 10:00:00,Gare de Charleroi,986
22/02/2023 11:00:00,Gare de Charleroi,1007
22/02/2023 12:00:00,Gare de Charleroi,1043
22/02/2023 13:00:00,Gare de Charleroi,1134
22/02/2023 14:00:00,Gare de Charleroi,1139
22/02/2023 15:00:00,Gare de Charleroi,1096
22/02/2023 16:00:00,Gare de Charleroi,991
22/02/2023 17:00:00,Gare de Charleroi,933
22/02/2023 18:00:00,Gare de Charleroi,675
22/02/2023 19:00:00,Gare de Charleroi,584
22/02/2023 20:00:00,Gare de Charleroi,490
22/02/2023 21:00:00,Gare de Charleroi,467
22/02/2023 22:00:00,Gare de Charleroi,424
22/02/2023 23:00:00,Gare de Charleroi,399
23/02/2023 00:00:00,Gare de Charleroi,364
23/02/2023 01:00:00,Gare de Charleroi,298
23/02/2023 02:00:00,Gare de Charleroi,264
23/02/2023 03:00:00,Gare de Charleroi,268
23/02/2023 04:00:00,Gare de Charleroi,263
23/02/2023 05:00:00,Gare de Charleroi,458
23/02/2023 06:00:00,Gare de Charleroi,641
23/02/2023 07:00:00,Gare de Charleroi,672
23/02/2023 08:00:00,Gare de Charleroi,896
23/02/2023 09:00:00,Gare de Charleroi,853
23/02/2023 10:00:00,Gare de Charleroi,967
23/02/2023 11:00:00,Gare de Charleroi,1045
23/02/2023 12:00:00,Gare de Charleroi,1153
23/02/2023 13:00:00,Gare de Charleroi,1169
23/02/2023 14:00:00,Gare de Charleroi,1141
23/02/2023 15:00:00,Gare de Charleroi,1115
23/02/2023 16:00:00,Gare de Charleroi,918
23/02/2023 17:00:00,Gare de Charleroi,879
23/02/2023 18:00:00,Gare de Charleroi,648
23/02/2023 19:00:00,Gare de Charleroi,606
23/02/2023 20:00:00,Gare de Charleroi,472
23/02/2023 21:00:00,Gare de Charleroi,482
23/02/2023 22:00:00,Gare de Charleroi,380
23/02/2023 23:00:00,Gare de Charleroi,346
24/02/2023 00:00:00,Gare de Charleroi,315
